ticker,status,current_price,entry,sl,tp,rr,zone_lo,zone_hi,atr,short_float_pct,inst_own_pct,dollar_vol_30d,avg_vol_30d,weekly_bars,days_to_earnings,earnings_known,earnings_blackout,tradingview_url,reason
CHE,PASS,504.05999755859375,477.1545021663086,446.63910936603844,551.1051283031597,2.4233876529420417,474.8237160779636,479.48528825465365,30.515392800270174,4.41,105.8,75936823.45420125,150650.36666666667,261,39,True,False,https://www.tradingview.com/chart/?symbol=NYSE:CHE,PASS entry=477.15 SL=446.64 TP=551.11 R:R=2.42 zone=[474.82-479.49] short=4.41% $vol=$75.9M
IRM,PASS,114.33999633789062,110.01705173878977,101.16455584212318,131.4188690185547,2.417602620727987,107.37757767897389,112.65652579860567,8.852495896666598,2.19,88.91,177123074.51239216,1549091.1333333333,261,47,True,False,https://www.tradingview.com/chart/?symbol=NYSE:IRM,PASS entry=110.02 SL=101.16 TP=131.42 R:R=2.42 zone=[107.38-112.66] short=2.19% $vol=$177.1M
BMY,PASS,63.060001373291016,58.835844116209714,55.452126737365035,67.01000213623047,2.4157330843073255,57.570133209228516,60.10155502319091,3.3837173788446813,2.16,85.17,577596014.210614,9159467.2,261,41,True,False,https://www.tradingview.com/chart/?symbol=NYSE:BMY,PASS entry=58.84 SL=55.45 TP=67.01 R:R=2.42 zone=[57.57-60.10] short=2.16% $vol=$577.6M
DDOG,PASS,229.9199981689453,197.3000030517578,165.8212160382952,272.19000244140625,2.379062425677967,192.91000366210938,201.69000244140625,31.47878701346261,3.1,86.23,952950067.8508224,4144702.8333333335,261,48,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:DDOG,PASS entry=197.30 SL=165.82 TP=272.19 R:R=2.38 zone=[192.91-201.69] short=3.10% $vol=$953.0M
FWONK,PASS,94.54000091552734,92.40749740600586,86.57142584664481,105.63999938964844,2.2673645874711177,91.58999633789062,93.2249984741211,5.8360715593610495,3.78,89.9,182451714.12953287,1929889.0666666667,261,48,True,False,https://www.tradingview.com/chart/?symbol=NYSE:FWONK,PASS entry=92.41 SL=86.57 TP=105.64 R:R=2.27 zone=[91.59-93.22] short=3.78% $vol=$182.5M
AMGN,PASS,385.6499938964844,384.4777897129984,359.56677834742305,440.30999755859375,2.2412662025737804,382.8546004001387,386.10097902585807,24.911011365575327,2.41,85.57,1046356001.6997763,2713227.066666667,261,46,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AMGN,PASS entry=384.48 SL=359.57 TP=440.31 R:R=2.24 zone=[382.85-386.10] short=2.41% $vol=$1046.4M
KEX,PASS,138.35000610351562,130.43999481201172,122.3035659790039,148.64999389648438,2.2380825123914865,128.6999969482422,132.17999267578125,8.136428833007812,3.36,102.92,55754236.19468078,402994.1,261,41,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:KEX,PASS entry=130.44 SL=122.30 TP=148.65 R:R=2.24 zone=[128.70-132.18] short=3.36% $vol=$55.8M
MUSA,PASS,526.0900268554688,514.2977688885397,465.92563015887777,622.5089585338304,2.2370561336982027,509.74995054804947,518.84558722903,48.372138729661984,4.73,83.88,149225962.20758057,283651.0,261,40,True,False,https://www.tradingview.com/chart/?symbol=NYSE:MUSA,PASS entry=514.30 SL=465.93 TP=622.51 R:R=2.24 zone=[509.75-518.85] short=4.73% $vol=$149.2M
ST,PASS,41.95000076293945,38.3562192270269,34.823767987822535,46.16984558105469,2.211955898303554,37.829020650805155,38.88341780324864,3.53245123920436,4.35,107.18,56846343.955524065,1355097.5666666667,261,39,True,False,https://www.tradingview.com/chart/?symbol=NYSE:ST,PASS entry=38.36 SL=34.82 TP=46.17 R:R=2.21 zone=[37.83-38.88] short=4.35% $vol=$56.8M
PGR,PASS,213.47999572753906,203.08481233381153,189.98314847748094,232.0,2.2069859205109243,199.4214324951172,206.74819217250587,13.101663856330594,1.04,90.36,490055263.7243271,2295555.9,261,26,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:PGR,PASS entry=203.08 SL=189.98 TP=232.00 R:R=2.21 zone=[199.42-206.75] short=1.04% $vol=$490.1M
CCK,PASS,109.19999694824219,107.28955174154854,101.21757371462165,120.69000244140625,2.206933332174766,106.27105712890625,108.30804635419082,6.071978026926883,2.5,100.32,90899981.1796636,832417.4333333333,261,31,True,False,https://www.tradingview.com/chart/?symbol=NYSE:CCK,PASS entry=107.29 SL=101.22 TP=120.69 R:R=2.21 zone=[106.27-108.31] short=2.50% $vol=$90.9M
